measurement_unit_id,country_code,domain_code,concept_id,entity_id,final_unit_type,final_query,topic_mid,query_language,selection_basis,selection_status,validation_status,signal_status,confidence_level,empirical_validation_status,technical_status,technical_attempt_count,extraction_method,model_consensus,model_confidence,score_margin,exact_validated_other_countries,official_name_check,topic_mid_format_check,ambiguity_flag,selection_rule,second_pass_decision,second_pass_confidence,final_review_status,concept_valid_keyword_count,concept_low_keyword_count,concept_valid_keyword_countries,concept_low_keyword_countries,fallback_query,source_url,inclusion_reason,review_reason,remaining_risk,notes,source_record_set
US|KPOP|KPOP_C01,US,KPOP,KPOP_C01,,topic,/m/02yh8l,/m/02yh8l,und,OFFICIAL_CSV,VALIDATED_SELECTED,VALID_DOWNLOADED,VALID,EMPIRICALLY_VALIDATED,VALID_DOWNLOADED,NOT_TECHNICAL,,OFFICIAL_CSV,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,K-pop,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F02yh8l&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_C03,US,KPOP,KPOP_C03,,topic,/m/0lq2fwy,/m/0lq2fwy,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Korean idol,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F0lq2fwy&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KVIDEO|KVIDEO_C01,US,KVIDEO,KVIDEO_C01,,topic,/m/0740gt,/m/0740gt,und,OFFICIAL_CSV,VALIDATED_SELECTED,VALID_DOWNLOADED,VALID,EMPIRICALLY_VALIDATED,VALID_DOWNLOADED,NOT_TECHNICAL,,OFFICIAL_CSV,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Korean drama,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F0740gt&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KVIDEO|KVIDEO_C02,US,KVIDEO,KVIDEO_C02,,topic,/m/0gw63wg,/m/0gw63wg,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,58.72,10,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fm%2F0gw63wg&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KVIDEO|KVIDEO_A01,US,KVIDEO,KVIDEO_A01,,keyword,best Korean dramas,,en,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,LOW,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,NO,LOW,5,2,,N/A,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,/g/11t7gxc4yw,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=best%20Korean%20dramas&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_BTS,US,KPOP,KPOP_G_BTS,KPOP_G_BTS,topic,/m/0w68qx3,/m/0w68qx3,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,54,11,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fm%2F0w68qx3&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_BLACKPINK,US,KPOP,KPOP_G_BLACKPINK,KPOP_G_BLACKPINK,keyword,BLACKPINK,,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,37.14,9,,N/A,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,/g/11byzf3gtr,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=BLACKPINK&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_STRAY_KIDS,US,KPOP,KPOP_G_STRAY_KIDS,KPOP_G_STRAY_KIDS,topic,/g/11f3f_dy9l,/g/11f3f_dy9l,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,43,10,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11f3f_dy9l&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_SEVENTEEN,US,KPOP,KPOP_G_SEVENTEEN,KPOP_G_SEVENTEEN,keyword,SEVENTEEN,,en,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,MEDIUM,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,MEDIUM,33,0,,N/A,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=SEVENTEEN&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_TWICE,US,KPOP,KPOP_G_TWICE,KPOP_G_TWICE,topic,/g/11btzyw8k4,/g/11btzyw8k4,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,33.28,11,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11btzyw8k4&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
