measurement_unit_id,country_code,domain_code,concept_id,entity_id,final_unit_type,final_query,topic_mid,query_language,selection_basis,selection_status,validation_status,signal_status,confidence_level,empirical_validation_status,technical_status,technical_attempt_count,extraction_method,model_consensus,model_confidence,score_margin,exact_validated_other_countries,official_name_check,topic_mid_format_check,ambiguity_flag,selection_rule,second_pass_decision,second_pass_confidence,final_review_status,concept_valid_keyword_count,concept_low_keyword_count,concept_valid_keyword_countries,concept_low_keyword_countries,fallback_query,source_url,inclusion_reason,review_reason,remaining_risk,notes,source_record_set
US|KFOOD|KFOOD_C01,US,KFOOD,KFOOD_C01,,keyword,Korean food,,en,RULE_GRAMMAR,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,GRAMMAR-LOCALIZED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20food&hl=en,의도어 문법 KFOOD_C01(한국 음식 일반) x 미국(en),,,한국 음식 일반 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_C02,US,KFOOD,KFOOD_C02,,keyword,Korean recipe,,en,RULE_GRAMMAR,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_DOM_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,GRAMMAR-LOCALIZED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20recipe&hl=en,의도어 문법 KFOOD_C02(한국 요리법 (가정조리)) x 미국(en),,,한국 요리법 (가정조리),KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_C03,US,KFOOD,KFOOD_C03,,keyword,Korean restaurant,,en,RULE_GRAMMAR,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_DOM_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,GRAMMAR-LOCALIZED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20restaurant&hl=en,의도어 문법 KFOOD_C03(한식당 (외식)) x 미국(en),,,한식당 (외식),KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I01,US,KFOOD,KFOOD_I01,,keyword,Korean ramen,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20ramen&hl=en,동결 품목 190230 의 소비자 검색어 번역 x 미국(en),,'ramen' 단독은 일식을 가리킨다. 전 언어에서 한국 수식어를 붙였으나 그만큼 검색량이 줄어 과소측정 가능,라면 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I02,US,KFOOD,KFOOD_I02,,keyword,kimchi,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=kimchi&hl=en,동결 품목 200599 의 소비자 검색어 번역 x 미국(en),,일본은 자국산 김치를 대량 생산해 JP 신호에 국산 수요가 섞인다,김치 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I03,US,KFOOD,KFOOD_I03,,keyword,Korean seaweed snack,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_DOM_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20seaweed%20snack&hl=en,동결 품목 121221 의 소비자 검색어 번역 x 미국(en),,일본어 のり 단독은 일본산 김. 韓国のり 로 한정,김 (조미김),KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I04,US,KFOOD,KFOOD_I04,,keyword,gochujang,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=gochujang&hl=en,동결 품목 210390 의 소비자 검색어 번역 x 미국(en),,,고추장·소스 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I05,US,KFOOD,KFOOD_I05,,keyword,soju,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=soju&hl=en,동결 품목 220890·220870 의 소비자 검색어 번역 x 미국(en),,일본어 焼酎 는 일본 소주다. 韓国焼酎 로 한정했으나 ソジュ 표기와 분산될 수 있음,소주 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I06,US,KFOOD,KFOOD_I06,,keyword,Korean snacks,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_DOM_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20snacks&hl=en,동결 품목 190590·190410·170490 의 소비자 검색어 번역 x 미국(en),,과자는 HS 3개 통합 개념이라 품목 대응이 1:1 이 아니다,한국 과자,KFOOD_ITEM_MASTER_V1
US|KFOOD|KFOOD_I07,US,KFOOD,KFOOD_I07,,keyword,Korean ginseng,,en,FROZEN_ITEM_MASTER,RULE_SELECTED,PENDING_EMPIRICAL,UNKNOWN,PENDING,NOT_YET_TESTED,PENDING_TOPIC_EXTRACTION,,RULE_GENERATED,,,,,,N/A,,ITEM-MASTER-TRANSLATED-1.0,NOT_REQUIRED,,PENDING_EMPIRICAL_VALIDATION,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-09&geo=US&q=Korean%20ginseng&hl=en,동결 품목 121120 의 소비자 검색어 번역 x 미국(en),,,인삼·홍삼 · TOPIC 후보,KFOOD_ITEM_MASTER_V1
